dataset,mode,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup_vs_first,parallel_efficiency_vs_first
synthetic_100k_1m,directed,1,4,4,1,0.025477000,0.217548000,0.000426000,0.000007000,0.000007000,0.000412000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,4,4,2,0.027451000,0.219033000,0.000412000,0.000006000,0.000007000,0.000399000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,4,4,3,0.027694000,0.216844000,0.000446000,0.000006000,0.000010000,0.000430000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,4,4,4,0.028260000,0.219337000,0.000413000,0.000006000,0.000009000,0.000398000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,4,4,5,0.028350000,0.225752000,0.000438000,0.000007000,0.000008000,0.000423000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,2,2,4,1,0.016570000,0.260191000,0.003944000,0.001209000,0.001064000,0.001670000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.656391068,1.656391068
synthetic_100k_1m,directed,2,2,4,2,0.020985000,0.213780000,0.002736000,0.000084000,0.000879000,0.001789000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.307905647,1.307905647
synthetic_100k_1m,directed,2,2,4,3,0.016247000,0.204115000,0.002244000,0.000061000,0.000395000,0.001806000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.689321105,1.689321105
synthetic_100k_1m,directed,2,2,4,4,0.015178000,0.218171000,0.002169000,0.000093000,0.000428000,0.001693000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.808301489,1.808301489
synthetic_100k_1m,directed,2,2,4,5,0.014959000,0.204597000,0.002190000,0.000079000,0.000407000,0.001715000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.834775052,1.834775052
synthetic_100k_1m,directed,4,1,4,1,0.033805000,0.288928000,0.006838000,0.000465000,0.001841000,0.004868000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.811903565,0.811903565
synthetic_100k_1m,directed,4,1,4,2,0.034087000,0.284814000,0.007261000,0.000356000,0.002355000,0.004754000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.805186728,0.805186728
synthetic_100k_1m,directed,4,1,4,3,0.033827000,0.291386000,0.007089000,0.000393000,0.002060000,0.004859000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.811375528,0.811375528
synthetic_100k_1m,directed,4,1,4,4,0.033856000,0.291295000,0.007202000,0.000375000,0.002181000,0.004830000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.810680529,0.810680529
synthetic_100k_1m,directed,4,1,4,5,0.036079000,0.285915000,0.008537000,0.000314000,0.003390000,0.004900000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.760730619,0.760730619
