dataset,mode,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup_vs_first,parallel_efficiency_vs_first
polblogs,directed,1,16,16,1,0.020574000,0.022288000,0.000040000,0.000009000,0.000008000,0.000023000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,1,16,16,2,0.023724000,0.025549000,0.000042000,0.000009000,0.000008000,0.000025000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,1,16,16,3,0.035433000,0.037461000,0.000041000,0.000007000,0.000007000,0.000027000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,1,16,16,4,0.020573000,0.022305000,0.000041000,0.000009000,0.000007000,0.000024000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,1,16,16,5,0.021245000,0.022878000,0.000046000,0.000012000,0.000009000,0.000025000,108,2.602085e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,2,8,16,1,0.010721000,0.012558000,0.001520000,0.000277000,0.000782000,0.000532000,108,2.602085e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,2.267493704,2.267493704
polblogs,directed,2,8,16,2,0.011055000,0.012848000,0.001788000,0.000262000,0.000983000,0.000550000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,2.198986884,2.198986884
polblogs,directed,2,8,16,3,0.011040000,0.013010000,0.001857000,0.000365000,0.000964000,0.000530000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,2.201974638,2.201974638
polblogs,directed,2,8,16,4,0.010629000,0.012482000,0.001831000,0.000311000,0.001023000,0.000505000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,2.287120143,2.287120143
polblogs,directed,2,8,16,5,0.010804000,0.012635000,0.001916000,0.000307000,0.001111000,0.000498000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,2.250074047,2.250074047
polblogs,directed,4,4,16,1,0.003744000,0.005713000,0.002413000,0.000402000,0.000981000,0.001227000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,6.493002137,6.493002137
polblogs,directed,4,4,16,2,0.004101000,0.006073000,0.002927000,0.000704000,0.001046000,0.001266000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,5.927773714,5.927773714
polblogs,directed,4,4,16,3,0.007376000,0.009317000,0.006203000,0.003798000,0.001220000,0.001256000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,3.295797180,3.295797180
polblogs,directed,4,4,16,4,0.003557000,0.005582000,0.002436000,0.000240000,0.000971000,0.001243000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,6.834354793,6.834354793
polblogs,directed,4,4,16,5,0.007847000,0.009852000,0.006513000,0.003823000,0.001151000,0.001639000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,3.097973748,3.097973748
polblogs,directed,8,2,16,1,0.007135000,0.009839000,0.006513000,0.003949000,0.001515000,0.001246000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,3.407119832,3.407119832
polblogs,directed,8,2,16,2,0.003091000,0.005233000,0.002471000,0.000394000,0.000969000,0.001272000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,7.864703979,7.864703979
polblogs,directed,8,2,16,3,0.003460000,0.005580000,0.003038000,0.000954000,0.000985000,0.001172000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,7.025953757,7.025953757
polblogs,directed,8,2,16,4,0.003815000,0.006575000,0.003341000,0.000730000,0.001419000,0.001341000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,6.372162516,6.372162516
polblogs,directed,8,2,16,5,0.003905000,0.005912000,0.003364000,0.001579000,0.000881000,0.001169000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,6.225300896,6.225300896
polblogs,directed,16,1,16,1,0.003023000,0.005200000,0.002891000,0.000616000,0.001014000,0.001636000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,8.041614290,8.041614290
polblogs,directed,16,1,16,2,0.003113000,0.005446000,0.002980000,0.000643000,0.001012000,0.001700000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,7.809123032,7.809123032
polblogs,directed,16,1,16,3,0.002708000,0.005035000,0.002563000,0.000602000,0.000684000,0.001554000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,8.977031019,8.977031019
polblogs,directed,16,1,16,4,0.002955000,0.005258000,0.002821000,0.000599000,0.000949000,0.001622000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,8.226666667,8.226666667
polblogs,directed,16,1,16,5,0.002735000,0.004848000,0.002603000,0.000600000,0.000717000,0.001599000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,8.888409506,8.888409506
