dataset,mode,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup_vs_first,parallel_efficiency_vs_first
synthetic_100k_1m,directed,1,16,16,1,0.061609000,0.326978000,0.000812000,0.000008000,0.000007000,0.000797000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,16,16,2,0.029848000,0.207920000,0.000442000,0.000005000,0.000007000,0.000430000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,16,16,3,0.031829000,0.229277000,0.000414000,0.000006000,0.000009000,0.000399000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,16,16,4,0.029741000,0.213976000,0.000418000,0.000005000,0.000008000,0.000405000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,16,16,5,0.030433000,0.209134000,0.000412000,0.000005000,0.000009000,0.000398000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,2,8,16,1,0.018233000,0.200674000,0.003676000,0.000111000,0.001904000,0.001661000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,2.012395108,2.012395108
synthetic_100k_1m,directed,2,8,16,2,0.022269000,0.206169000,0.005601000,0.003701000,0.000947000,0.001668000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.647671651,1.647671651
synthetic_100k_1m,directed,2,8,16,3,0.018106000,0.206104000,0.003217000,0.000130000,0.001411000,0.001676000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,2.026510549,2.026510549
synthetic_100k_1m,directed,2,8,16,4,0.018202000,0.203705000,0.002228000,0.000120000,0.000405000,0.001716000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,2.015822437,2.015822437
synthetic_100k_1m,directed,2,8,16,5,0.017608000,0.202415000,0.002212000,0.000118000,0.000461000,0.001667000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,2.083825534,2.083825534
