dataset,mode,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup_vs_first,parallel_efficiency_vs_first
synthetic_100k_1m,directed,1,32,32,1,0.010201000,0.177065000,0.002849000,0.000024000,0.000009000,0.002816000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,32,32,2,0.010054000,0.183703000,0.002831000,0.000027000,0.000009000,0.002796000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,32,32,3,0.010081000,0.180429000,0.002842000,0.000026000,0.000011000,0.002804000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,32,32,4,0.010400000,0.173831000,0.002858000,0.000025000,0.000008000,0.002825000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,32,32,5,0.010150000,0.177445000,0.002851000,0.000032000,0.000009000,0.002809000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,2,16,32,1,0.011708000,0.200818000,0.006284000,0.000151000,0.000259000,0.005906000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,0.869251794,0.869251794
synthetic_100k_1m,directed,2,16,32,2,0.011630000,0.208117000,0.006001000,0.000133000,0.000196000,0.005700000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,0.875081685,0.875081685
synthetic_100k_1m,directed,2,16,32,3,0.012134000,0.194334000,0.006904000,0.000720000,0.000244000,0.005969000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,0.838734135,0.838734135
synthetic_100k_1m,directed,2,16,32,4,0.011876000,0.197389000,0.006506000,0.000557000,0.000189000,0.005789000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,0.856955204,0.856955204
synthetic_100k_1m,directed,2,16,32,5,0.011651000,0.193049000,0.006319000,0.000157000,0.000239000,0.006010000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,0.873504420,0.873504420
synthetic_100k_1m,directed,4,8,32,1,0.016503000,0.222112000,0.010892000,0.000229000,0.000367000,0.010372000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.616687875,0.616687875
synthetic_100k_1m,directed,4,8,32,2,0.015870000,0.214746000,0.010485000,0.000214000,0.000434000,0.009912000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.641285444,0.641285444
synthetic_100k_1m,directed,4,8,32,3,0.016230000,0.207274000,0.010810000,0.000199000,0.000695000,0.009946000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.627060998,0.627060998
synthetic_100k_1m,directed,4,8,32,4,0.015755000,0.213067000,0.010373000,0.000161000,0.000466000,0.009797000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.645966360,0.645966360
synthetic_100k_1m,directed,4,8,32,5,0.016085000,0.208948000,0.010499000,0.000153000,0.000391000,0.010134000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.632713708,0.632713708
synthetic_100k_1m,directed,8,4,32,1,0.032289000,0.233392000,0.025228000,0.006240000,0.006018000,0.013097000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,0.315190932,0.315190932
synthetic_100k_1m,directed,8,4,32,2,0.020630000,0.222299000,0.013646000,0.000323000,0.000460000,0.012953000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,0.493320407,0.493320407
synthetic_100k_1m,directed,8,4,32,3,0.020956000,0.223947000,0.013698000,0.000294000,0.000595000,0.013203000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,0.485646116,0.485646116
