dataset,mode,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup_vs_first,parallel_efficiency_vs_first
synthetic_100k_1m,directed,1,16,16,1,0.034186000,1.494183000,0.003076000,0.000036000,0.000015000,0.003024000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,16,16,2,0.033355000,0.220982000,0.003069000,0.000035000,0.000015000,0.003019000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,16,16,3,0.032953000,0.225295000,0.003096000,0.000035000,0.000018000,0.003043000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,16,16,4,0.035526000,0.222080000,0.003111000,0.000040000,0.000015000,0.003056000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,1,16,16,5,0.032416000,0.220334000,0.003104000,0.000043000,0.000014000,0.003047000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,2,8,16,1,0.029204000,0.230300000,0.004864000,0.000086000,0.000179000,0.004599000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.153513217,1.153513217
synthetic_100k_1m,directed,2,8,16,2,0.029771000,0.244019000,0.005126000,0.000128000,0.000404000,0.004636000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.131544120,1.131544120
synthetic_100k_1m,directed,2,8,16,3,0.037379000,0.251228000,0.012681000,0.007946000,0.000256000,0.004631000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,0.901233313,0.901233313
synthetic_100k_1m,directed,2,8,16,4,0.033337000,0.235090000,0.008940000,0.004053000,0.000261000,0.004625000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.010504844,1.010504844
synthetic_100k_1m,directed,2,8,16,5,0.028274000,0.227121000,0.004902000,0.000196000,0.000246000,0.004602000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.191455047,1.191455047
synthetic_100k_1m,directed,4,4,16,1,0.031089000,0.234641000,0.007965000,0.000250000,0.000960000,0.006854000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,1.083572968,1.083572968
synthetic_100k_1m,directed,4,4,16,2,0.032529000,0.238061000,0.008168000,0.000217000,0.001103000,0.006971000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,1.035605152,1.035605152
synthetic_100k_1m,directed,4,4,16,3,0.035736000,0.243213000,0.012337000,0.004160000,0.000942000,0.007322000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.942668458,0.942668458
synthetic_100k_1m,directed,4,4,16,4,0.034779000,0.238044000,0.011936000,0.004214000,0.001049000,0.006761000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,0.968607493,0.968607493
synthetic_100k_1m,directed,4,4,16,5,0.030997000,0.247628000,0.007897000,0.000215000,0.001100000,0.006691000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,1.086789044,1.086789044
synthetic_100k_1m,directed,8,2,16,1,0.018909000,0.226326000,0.010492000,0.000393000,0.003826000,0.006584000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.781543180,1.781543180
synthetic_100k_1m,directed,8,2,16,2,0.018619000,0.241851000,0.010336000,0.000284000,0.003606000,0.006636000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.809291584,1.809291584
synthetic_100k_1m,directed,8,2,16,3,0.019153000,0.226508000,0.010601000,0.000322000,0.003846000,0.006694000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.758847178,1.758847178
synthetic_100k_1m,directed,8,2,16,4,0.019235000,0.233478000,0.010717000,0.000333000,0.003997000,0.006645000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.751349103,1.751349103
synthetic_100k_1m,directed,8,2,16,5,0.019266000,0.222175000,0.010468000,0.000372000,0.003736000,0.006673000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.748531091,1.748531091
