dataset,mode,scaling_mode,ranks,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup,parallel_efficiency
polblogs,directed,strong,1,1,0.001474000,0.003188000,0.000021000,0.000005000,0.000005000,0.000012000,108,0.000000e+00,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,strong,1,2,0.001485000,0.003269000,0.000023000,0.000006000,0.000006000,0.000011000,108,0.000000e+00,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,strong,1,3,0.001485000,0.003153000,0.000022000,0.000006000,0.000005000,0.000011000,108,0.000000e+00,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,strong,1,4,0.001491000,0.003145000,0.000019000,0.000004000,0.000004000,0.000011000,108,0.000000e+00,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,strong,1,5,0.001483000,0.003151000,0.000020000,0.000004000,0.000005000,0.000011000,108,0.000000e+00,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000
polblogs,directed,strong,2,1,0.001905000,0.003658000,0.001595000,0.000062000,0.001107000,0.000440000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.778792651,0.389396325
polblogs,directed,strong,2,2,0.001897000,0.003737000,0.001581000,0.000064000,0.001101000,0.000426000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.782076964,0.391038482
polblogs,directed,strong,2,3,0.001923000,0.003658000,0.001623000,0.000066000,0.001118000,0.000449000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.771502860,0.385751430
polblogs,directed,strong,2,4,0.001855000,0.003676000,0.001562000,0.000065000,0.001106000,0.000403000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.799784367,0.399892183
polblogs,directed,strong,2,5,0.001864000,0.003697000,0.001569000,0.000073000,0.001082000,0.000432000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.795922747,0.397961373
polblogs,directed,strong,4,1,0.002750000,0.004769000,0.002423000,0.000234000,0.001010000,0.001241000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.539490909,0.134872727
polblogs,directed,strong,4,2,0.003378000,0.005408000,0.003060000,0.000258000,0.001540000,0.001310000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.439194790,0.109798697
polblogs,directed,strong,4,3,0.002750000,0.004657000,0.002489000,0.000266000,0.001061000,0.001258000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.539490909,0.134872727
polblogs,directed,strong,4,4,0.002772000,0.004853000,0.002425000,0.000260000,0.001025000,0.001251000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.535209235,0.133802309
polblogs,directed,strong,4,5,0.002983000,0.004926000,0.002601000,0.000261000,0.000990000,0.001432000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.497351659,0.124337915
polblogs,directed,strong,8,1,0.002390000,0.004484000,0.002345000,0.000438000,0.000898000,0.001266000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,0.620753138,0.077594142
polblogs,directed,strong,8,2,0.002381000,0.004586000,0.002332000,0.000424000,0.000924000,0.001273000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,0.623099538,0.077887442
polblogs,directed,strong,8,3,0.002929000,0.005548000,0.002879000,0.000384000,0.001450000,0.001226000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,0.506520997,0.063315125
polblogs,directed,strong,8,4,0.002288000,0.004323000,0.002239000,0.000337000,0.000871000,0.001166000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,0.648426573,0.081053322
polblogs,directed,strong,8,5,0.002317000,0.004398000,0.002267000,0.000314000,0.000883000,0.001175000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412,0.640310747,0.080038843
polblogs,directed,strong,16,1,0.002636000,0.004861000,0.002606000,0.000566000,0.000698000,0.001612000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,0.562822458,0.035176404
polblogs,directed,strong,16,2,0.002943000,0.005701000,0.002913000,0.000642000,0.000994000,0.001629000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,0.504111451,0.031506966
polblogs,directed,strong,16,3,0.002858000,0.005645000,0.002830000,0.000630000,0.000979000,0.001575000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,0.519104269,0.032444017
polblogs,directed,strong,16,4,0.002942000,0.005860000,0.002912000,0.000584000,0.000997000,0.001630000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,0.504282801,0.031517675
polblogs,directed,strong,16,5,0.002839000,0.005010000,0.002812000,0.000562000,0.001067000,0.001547000,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536,0.522578373,0.032661148
