dataset,mode,scaling_mode,ranks,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup,parallel_efficiency
synthetic_100k_1m,directed,strong,1,1,0.028300000,0.221501000,0.000388000,0.000003000,0.000005000,0.000380000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,strong,1,2,0.026831000,0.202457000,0.000375000,0.000003000,0.000004000,0.000368000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,strong,1,3,0.027245000,0.204541000,0.000375000,0.000004000,0.000007000,0.000365000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,strong,1,4,0.026936000,0.207668000,0.000363000,0.000003000,0.000004000,0.000355000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,strong,1,5,0.026829000,0.215266000,0.000367000,0.000003000,0.000004000,0.000360000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000
synthetic_100k_1m,directed,strong,2,1,0.016814000,0.203015000,0.002202000,0.000078000,0.000595000,0.001545000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.619376710,0.809688355
synthetic_100k_1m,directed,strong,2,2,0.015797000,0.198496000,0.001901000,0.000064000,0.000333000,0.001504000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.723631069,0.861815535
synthetic_100k_1m,directed,strong,2,3,0.015319000,0.196418000,0.001779000,0.000042000,0.000235000,0.001502000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.777413669,0.888706835
synthetic_100k_1m,directed,strong,2,4,0.015812000,0.192983000,0.001863000,0.000051000,0.000294000,0.001525000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.721995952,0.860997976
synthetic_100k_1m,directed,strong,2,5,0.024489000,0.216404000,0.009745000,0.000619000,0.007473000,0.001681000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.111854302,0.555927151
synthetic_100k_1m,directed,strong,4,1,0.012232000,0.200124000,0.005032000,0.000810000,0.000798000,0.004153000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.225981033,0.556495258
synthetic_100k_1m,directed,strong,4,2,0.012673000,0.209951000,0.005358000,0.000372000,0.000934000,0.004124000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.148520477,0.537130119
synthetic_100k_1m,directed,strong,4,3,0.014218000,0.207057000,0.007033000,0.000551000,0.002447000,0.004604000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,1.915051343,0.478762836
synthetic_100k_1m,directed,strong,4,4,0.012537000,0.213218000,0.005395000,0.000346000,0.000796000,0.004419000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.171827391,0.542956848
synthetic_100k_1m,directed,strong,4,5,0.012029000,0.200071000,0.005041000,0.000603000,0.000787000,0.004122000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.263546429,0.565886607
synthetic_100k_1m,directed,strong,8,1,0.019650000,0.230829000,0.016037000,0.000545000,0.010578000,0.005255000,19,0.000000e+00,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.385659033,0.173207379
synthetic_100k_1m,directed,strong,8,2,0.019464000,0.210410000,0.015818000,0.000909000,0.010784000,0.004878000,19,0.000000e+00,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.398900534,0.174862567
synthetic_100k_1m,directed,strong,8,3,0.019845000,0.214151000,0.016255000,0.001091000,0.010793000,0.005284000,19,0.000000e+00,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.372043336,0.171505417
synthetic_100k_1m,directed,strong,8,4,0.010926000,0.208194000,0.007414000,0.000640000,0.002855000,0.004339000,19,0.000000e+00,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,2.492055647,0.311506956
