dataset,mode,scaling_mode,ranks,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup,parallel_efficiency,step_nodes,ranks_per_node,node_hosts
polblogs,directed,strong,1,1,0.002349000,0.007686000,0.000104000,0.000027000,0.000019000,0.000058000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000,1,1,nid001120
polblogs,directed,strong,1,2,0.002348000,0.005688000,0.000112000,0.000028000,0.000018000,0.000066000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000,1,1,nid001120
polblogs,directed,strong,1,3,0.002347000,0.005542000,0.000105000,0.000026000,0.000018000,0.000060000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000,1,1,nid001120
polblogs,directed,strong,1,4,0.002390000,0.005725000,0.000117000,0.000028000,0.000019000,0.000071000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000,1,1,nid001120
polblogs,directed,strong,1,5,0.002386000,0.005533000,0.000109000,0.000027000,0.000018000,0.000064000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000,1.000000000,1.000000000,1,1,nid001120
polblogs,directed,strong,2,1,0.003303000,0.006862000,0.003001000,0.000378000,0.002086000,0.000650000,108,1.040834e-17,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.715712988,0.357856494,2,1,nid001120;nid001121
polblogs,directed,strong,2,2,0.003223000,0.006637000,0.002948000,0.000358000,0.002066000,0.000632000,108,1.040834e-17,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.733478126,0.366739063,2,1,nid001120;nid001121
polblogs,directed,strong,2,3,0.003370000,0.006340000,0.003095000,0.000468000,0.002060000,0.000648000,108,1.040834e-17,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.701483680,0.350741840,2,1,nid001120;nid001121
polblogs,directed,strong,2,4,0.003244000,0.006239000,0.002969000,0.000372000,0.002086000,0.000638000,108,1.040834e-17,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.728729963,0.364364982,2,1,nid001120;nid001121
polblogs,directed,strong,2,5,0.003231000,0.006185000,0.002957000,0.000357000,0.002071000,0.000646000,108,1.040834e-17,PASS,612,612.00,612,1082,9545.00,18008,1.887,0.731662024,0.365831012,2,1,nid001120;nid001121
polblogs,directed,strong,4,1,0.003413000,0.006596000,0.003289000,0.000427000,0.001918000,0.001084000,108,2.168404e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.692645766,0.173161442,2,2,nid001120;nid001121
polblogs,directed,strong,4,2,0.003397000,0.006576000,0.003274000,0.000440000,0.001912000,0.001061000,108,2.168404e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.695908154,0.173977039,2,2,nid001120;nid001121
polblogs,directed,strong,4,3,0.003380000,0.006553000,0.003256000,0.000448000,0.001919000,0.001048000,108,2.168404e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.699408284,0.174852071,2,2,nid001120;nid001121
polblogs,directed,strong,4,4,0.003400000,0.006681000,0.003277000,0.000442000,0.001909000,0.001067000,108,2.168404e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.695294118,0.173823529,2,2,nid001120;nid001121
polblogs,directed,strong,4,5,0.003439000,0.006699000,0.003315000,0.000442000,0.001945000,0.001079000,108,2.168404e-18,PASS,306,306.00,306,250,4772.50,14932,3.129,0.687409131,0.171852283,2,2,nid001120;nid001121
