dataset,mode,scaling_mode,ranks,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup,parallel_efficiency,step_nodes,ranks_per_node,node_hosts
synthetic_100k_1m,directed,strong,1,1,0.038607000,1.417284000,0.003132000,0.002750000,0.000006000,0.000376000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000,1,1,nid001120
synthetic_100k_1m,directed,strong,1,2,0.038317000,1.422611000,0.003123000,0.002739000,0.000005000,0.000379000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000,1,1,nid001120
synthetic_100k_1m,directed,strong,1,3,0.034994000,0.212106000,0.000402000,0.000017000,0.000005000,0.000379000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000,1,1,nid001120
synthetic_100k_1m,directed,strong,1,4,0.034843000,0.214718000,0.000409000,0.000017000,0.000005000,0.000386000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000,1,1,nid001120
synthetic_100k_1m,directed,strong,1,5,0.034890000,0.214476000,0.000405000,0.000016000,0.000005000,0.000383000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1.000000000,1.000000000,1,1,nid001120
synthetic_100k_1m,directed,strong,2,1,0.020228000,0.208285000,0.002539000,0.000176000,0.000542000,0.001850000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.796035199,0.898017599,2,1,nid001120;nid001121
synthetic_100k_1m,directed,strong,2,2,0.020441000,0.201209000,0.002921000,0.000145000,0.000944000,0.001848000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.777320092,0.888660046,2,1,nid001120;nid001121
synthetic_100k_1m,directed,strong,2,3,0.020456000,0.199685000,0.002931000,0.000188000,0.000938000,0.001849000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.776016817,0.888008408,2,1,nid001120;nid001121
synthetic_100k_1m,directed,strong,2,4,0.020429000,0.206693000,0.003263000,0.000171000,0.001263000,0.001858000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.778364090,0.889182045,2,1,nid001120;nid001121
synthetic_100k_1m,directed,strong,2,5,0.020378000,0.208403000,0.003247000,0.000171000,0.001243000,0.001864000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035,1.782814800,0.891407400,2,1,nid001120;nid001121
synthetic_100k_1m,directed,strong,4,1,0.012585000,0.201860000,0.003714000,0.000277000,0.000931000,0.002617000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.886785856,0.721696464,2,2,nid001120;nid001121
synthetic_100k_1m,directed,strong,4,2,0.012551000,0.208738000,0.003718000,0.000327000,0.000916000,0.002679000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.894606007,0.723651502,2,2,nid001120;nid001121
synthetic_100k_1m,directed,strong,4,3,0.012515000,0.214930000,0.003944000,0.000214000,0.001157000,0.002594000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.902932481,0.725733120,2,2,nid001120;nid001121
synthetic_100k_1m,directed,strong,4,4,0.013018000,0.205045000,0.003860000,0.000226000,0.001043000,0.002608000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.790766631,0.697691658,2,2,nid001120;nid001121
synthetic_100k_1m,directed,strong,4,5,0.012867000,0.204680000,0.003931000,0.000307000,0.001134000,0.002663000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.823517525,0.705879381,2,2,nid001120;nid001121
synthetic_100k_1m,directed,strong,8,1,0.013547000,0.213636000,0.007544000,0.000725000,0.002996000,0.004157000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,2.681789326,0.335223666,2,4,nid001120;nid001121
synthetic_100k_1m,directed,strong,8,2,0.011484000,0.206347000,0.005708000,0.000687000,0.001161000,0.004205000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,3.163549286,0.395443661,2,4,nid001120;nid001121
synthetic_100k_1m,directed,strong,8,3,0.011580000,0.220080000,0.005947000,0.000703000,0.001452000,0.004161000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,3.137322971,0.392165371,2,4,nid001120;nid001121
synthetic_100k_1m,directed,strong,8,4,0.012990000,0.204725000,0.007303000,0.001157000,0.002851000,0.004278000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,2.796782140,0.349597768,2,4,nid001120;nid001121
synthetic_100k_1m,directed,strong,8,5,0.011423000,0.203820000,0.005698000,0.000731000,0.001208000,0.004222000,19,1.016440e-20,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,3.180442966,0.397555371,2,4,nid001120;nid001121
synthetic_100k_1m,directed,strong,16,1,0.014309000,0.224875000,0.011084000,0.002227000,0.001472000,0.008495000,19,1.016440e-20,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,2.538975470,0.158685967,2,8,nid001120;nid001121
synthetic_100k_1m,directed,strong,16,2,0.014217000,0.217025000,0.010679000,0.002443000,0.001096000,0.008771000,19,1.016440e-20,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,2.555405500,0.159712844,2,8,nid001120;nid001121
synthetic_100k_1m,directed,strong,16,3,0.014052000,0.210491000,0.010736000,0.002022000,0.001163000,0.008690000,19,1.016440e-20,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,2.585411329,0.161588208,2,8,nid001120;nid001121
synthetic_100k_1m,directed,strong,16,4,0.014296000,0.221608000,0.010736000,0.002271000,0.001175000,0.008767000,19,1.016440e-20,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,2.541284275,0.158830267,2,8,nid001120;nid001121
synthetic_100k_1m,directed,strong,16,5,0.013663000,0.220587000,0.010374000,0.002602000,0.000844000,0.008841000,19,1.016440e-20,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,2.659020713,0.166188795,2,8,nid001120;nid001121
