dataset,mode,scaling_mode,ranks,repeat,target_nodes,target_edges,nodes,edges,edges_per_rank,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,weak_efficiency
weak_1rank_12500_125000,directed,weak,1,1,12500,125000,12500,125000,125000.00,0.003165000,0.020617000,0.000039000,0.000002000,0.000001000,0.000036000,19,0.000000e+00,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_1rank_12500_125000,directed,weak,1,2,12500,125000,12500,125000,125000.00,0.003923000,0.016968000,0.000050000,0.000002000,0.000002000,0.000046000,19,0.000000e+00,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_1rank_12500_125000,directed,weak,1,3,12500,125000,12500,125000,125000.00,0.003124000,0.015268000,0.000038000,0.000001000,0.000001000,0.000036000,19,0.000000e+00,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_1rank_12500_125000,directed,weak,1,4,12500,125000,12500,125000,125000.00,0.003147000,0.014331000,0.000039000,0.000002000,0.000001000,0.000036000,19,0.000000e+00,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_1rank_12500_125000,directed,weak,1,5,12500,125000,12500,125000,125000.00,0.003193000,0.014698000,0.000038000,0.000002000,0.000001000,0.000035000,19,0.000000e+00,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_2rank_25000_250000,directed,weak,2,1,25000,250000,25000,250000,125000.00,0.004464000,0.038361000,0.000711000,0.000041000,0.000218000,0.000457000,19,0.000000e+00,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.741577061
weak_2rank_25000_250000,directed,weak,2,2,25000,250000,25000,250000,125000.00,0.005586000,0.043444000,0.001256000,0.000083000,0.000636000,0.000555000,19,0.000000e+00,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.592624418
weak_2rank_25000_250000,directed,weak,2,3,25000,250000,25000,250000,125000.00,0.003757000,0.031820000,0.000561000,0.000028000,0.000117000,0.000416000,19,0.000000e+00,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.881128560
weak_2rank_25000_250000,directed,weak,2,4,25000,250000,25000,250000,125000.00,0.009106000,0.044604000,0.004722000,0.000030000,0.004177000,0.004522000,19,0.000000e+00,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.363540523
weak_2rank_25000_250000,directed,weak,2,5,25000,250000,25000,250000,125000.00,0.003814000,0.033125000,0.000644000,0.000040000,0.000221000,0.000399000,19,0.000000e+00,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.867960147
