dataset,mode,scaling_mode,ranks,repeat,target_nodes,target_edges,nodes,edges,edges_per_rank,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,weak_efficiency
weak_1rank_12500_125000,directed,weak,1,1,12500,125000,12500,125000,125000.00,0.003934000,0.065124000,0.000122000,0.000016000,0.000005000,0.000101000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_1rank_12500_125000,directed,weak,1,2,12500,125000,12500,125000,125000.00,0.003837000,0.019098000,0.000134000,0.000015000,0.000005000,0.000114000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_1rank_12500_125000,directed,weak,1,3,12500,125000,12500,125000,125000.00,0.003861000,0.019542000,0.000136000,0.000021000,0.000005000,0.000110000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_1rank_12500_125000,directed,weak,1,4,12500,125000,12500,125000,125000.00,0.003837000,0.020211000,0.000139000,0.000020000,0.000005000,0.000115000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_1rank_12500_125000,directed,weak,1,5,12500,125000,12500,125000,125000.00,0.003815000,0.018136000,0.000121000,0.000015000,0.000005000,0.000101000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000
weak_2rank_25000_250000,directed,weak,2,1,25000,250000,25000,250000,125000.00,2.004017000,2.384853000,1.999600000,0.706497000,0.695300000,0.608310000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.001924535
weak_2rank_25000_250000,directed,weak,2,2,25000,250000,25000,250000,125000.00,2.012015000,2.236834000,2.007558000,0.703469000,0.703636000,0.616606000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.001916884
weak_2rank_25000_250000,directed,weak,2,3,25000,250000,25000,250000,125000.00,2.000017000,2.224642000,1.995459000,0.703656000,0.691587000,0.608389000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.001928384
weak_2rank_25000_250000,directed,weak,2,4,25000,250000,25000,250000,125000.00,2.020025000,2.237019000,2.015583000,0.703565000,0.707662000,0.608507000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.001909283
weak_2rank_25000_250000,directed,weak,2,5,25000,250000,25000,250000,125000.00,1.984014000,2.184873000,1.979517000,0.695385000,0.695263000,0.600448000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.001943938
weak_4rank_50000_500000,directed,weak,4,1,50000,500000,50000,500000,125000.00,2.000019000,2.925669000,1.994338000,0.799018000,0.698379000,0.648710000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.001928382
weak_4rank_50000_500000,directed,weak,4,2,50000,500000,50000,500000,125000.00,2.256015000,2.540000000,2.250843000,0.699529000,0.727050000,0.860867000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.001709563
weak_4rank_50000_500000,directed,weak,4,3,50000,500000,50000,500000,125000.00,2.096022000,2.392025000,2.091175000,0.714889000,0.723232000,0.740404000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.001840057
weak_4rank_50000_500000,directed,weak,4,4,50000,500000,50000,500000,125000.00,1.992027000,2.275969000,1.986346000,0.687622000,0.694597000,0.660283000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.001936118
weak_4rank_50000_500000,directed,weak,4,5,50000,500000,50000,500000,125000.00,2.164023000,2.452012000,2.158961000,0.734780000,0.706769000,0.780266000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.001782236
weak_8rank_100000_1000000,directed,weak,8,1,100000,1000000,100000,1000000,125000.00,8.507873000,11.591882000,8.496971000,1.023636000,0.866041000,7.000181000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.000453321
weak_8rank_100000_1000000,directed,weak,8,2,100000,1000000,100000,1000000,125000.00,11.123491000,11.663842000,11.112048000,1.227744000,0.873505000,9.484191000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.000346726
weak_8rank_100000_1000000,directed,weak,8,3,100000,1000000,100000,1000000,125000.00,11.187992000,11.757310000,11.176777000,1.279476000,0.884225000,9.440425000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.000344727
weak_8rank_100000_1000000,directed,weak,8,4,100000,1000000,100000,1000000,125000.00,6.379864000,6.907862000,6.367188000,0.963507000,0.804833000,4.964269000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.000604527
weak_8rank_100000_1000000,directed,weak,8,5,100000,1000000,100000,1000000,125000.00,12.396011000,12.936007000,12.384115000,1.287788000,0.952153000,10.596223000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.000311132
weak_16rank_200000_2000000,directed,weak,16,1,200000,2000000,200000,2000000,125000.00,23.215742000,35.991820000,23.194762000,1.487784000,0.887927000,21.186659000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.000166129
weak_16rank_200000_2000000,directed,weak,16,2,200000,2000000,200000,2000000,125000.00,22.196310000,23.632294000,22.177040000,1.555587000,0.817778000,20.415303000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.000173759
weak_16rank_200000_2000000,directed,weak,16,3,200000,2000000,200000,2000000,125000.00,26.691779000,28.203783000,26.675685000,1.543751000,0.927230000,24.495354000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.000144494
weak_16rank_200000_2000000,directed,weak,16,4,200000,2000000,200000,2000000,125000.00,25.927328000,27.383336000,25.911425000,1.779688000,0.896482000,23.851314000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.000148754
weak_16rank_200000_2000000,directed,weak,16,5,200000,2000000,200000,2000000,125000.00,21.096002000,22.636010000,21.075492000,1.487641000,0.936545000,19.114696000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.000182821
