dataset,mode,scaling_mode,ranks,repeat,target_nodes,target_edges,nodes,edges,edges_per_rank,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,weak_efficiency,step_nodes,ranks_per_node,node_hosts
weak_1rank_12500_125000,directed,weak,1,1,12500,125000,12500,125000,125000.00,0.003818000,0.068353000,0.000134000,0.000013000,0.000004000,0.000117000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000,1,1,nid001120
weak_1rank_12500_125000,directed,weak,1,2,12500,125000,12500,125000,125000.00,0.003821000,0.054904000,0.000132000,0.000014000,0.000004000,0.000113000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000,1,1,nid001120
weak_1rank_12500_125000,directed,weak,1,3,12500,125000,12500,125000,125000.00,0.003730000,0.018406000,0.000137000,0.000015000,0.000005000,0.000118000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000,1,1,nid001120
weak_1rank_12500_125000,directed,weak,1,4,12500,125000,12500,125000,125000.00,0.003719000,0.018723000,0.000136000,0.000016000,0.000004000,0.000116000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000,1,1,nid001120
weak_1rank_12500_125000,directed,weak,1,5,12500,125000,12500,125000,125000.00,0.003801000,0.018954000,0.000128000,0.000014000,0.000005000,0.000110000,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000,1.000000000,1,1,nid001120
weak_2rank_25000_250000,directed,weak,2,1,25000,250000,25000,250000,125000.00,0.004689000,0.038453000,0.000893000,0.000109000,0.000220000,0.000580000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.805672851,2,1,nid001120;nid001121
weak_2rank_25000_250000,directed,weak,2,2,25000,250000,25000,250000,125000.00,0.004657000,0.037100000,0.000864000,0.000103000,0.000182000,0.000586000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.811208933,2,1,nid001120;nid001121
weak_2rank_25000_250000,directed,weak,2,3,25000,250000,25000,250000,125000.00,0.007261000,0.040093000,0.003473000,0.000098000,0.002811000,0.000567000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.520286462,2,1,nid001120;nid001121
weak_2rank_25000_250000,directed,weak,2,4,25000,250000,25000,250000,125000.00,0.007717000,0.039946000,0.003901000,0.000111000,0.003209000,0.000588000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.489542568,2,1,nid001120;nid001121
weak_2rank_25000_250000,directed,weak,2,5,25000,250000,25000,250000,125000.00,0.004861000,0.037527000,0.001018000,0.000118000,0.000342000,0.000585000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033,0.777165192,2,1,nid001120;nid001121
weak_4rank_50000_500000,directed,weak,4,1,50000,500000,50000,500000,125000.00,0.006113000,0.084192000,0.002069000,0.000183000,0.000485000,0.001461000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.617994438,2,2,nid001120;nid001121
weak_4rank_50000_500000,directed,weak,4,2,50000,500000,50000,500000,125000.00,0.006112000,0.083736000,0.002081000,0.000208000,0.000485000,0.001475000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.618095550,2,2,nid001120;nid001121
weak_4rank_50000_500000,directed,weak,4,3,50000,500000,50000,500000,125000.00,0.006130000,0.085590000,0.002114000,0.000226000,0.000520000,0.001452000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.616280587,2,2,nid001120;nid001121
weak_4rank_50000_500000,directed,weak,4,4,50000,500000,50000,500000,125000.00,0.006221000,0.090865000,0.002156000,0.000189000,0.000560000,0.001476000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.607265713,2,2,nid001120;nid001121
weak_4rank_50000_500000,directed,weak,4,5,50000,500000,50000,500000,125000.00,0.006093000,0.082473000,0.002001000,0.000199000,0.000408000,0.001463000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044,0.620022977,2,2,nid001120;nid001121
weak_8rank_100000_1000000,directed,weak,8,1,100000,1000000,100000,1000000,125000.00,0.011861000,0.212364000,0.006498000,0.000711000,0.002029000,0.004164000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.318506028,2,4,nid001120;nid001121
weak_8rank_100000_1000000,directed,weak,8,2,100000,1000000,100000,1000000,125000.00,0.011232000,0.202511000,0.005570000,0.000729000,0.001089000,0.004244000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.336342593,2,4,nid001120;nid001121
weak_8rank_100000_1000000,directed,weak,8,3,100000,1000000,100000,1000000,125000.00,0.012390000,0.202447000,0.006928000,0.000806000,0.002531000,0.003970000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.304907183,2,4,nid001120;nid001121
weak_8rank_100000_1000000,directed,weak,8,4,100000,1000000,100000,1000000,125000.00,0.012023000,0.214856000,0.006504000,0.000955000,0.001996000,0.004217000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.314214422,2,4,nid001120;nid001121
weak_8rank_100000_1000000,directed,weak,8,5,100000,1000000,100000,1000000,125000.00,0.012156000,0.202621000,0.006546000,0.000726000,0.002092000,0.004104000,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044,0.310776571,2,4,nid001120;nid001121
weak_16rank_200000_2000000,directed,weak,16,1,200000,2000000,200000,2000000,125000.00,0.044781000,0.625153000,0.027183000,0.005369000,0.004570000,0.020423000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.084361671,2,8,nid001120;nid001121
weak_16rank_200000_2000000,directed,weak,16,2,200000,2000000,200000,2000000,125000.00,0.043782000,0.647743000,0.026202000,0.005604000,0.003783000,0.020138000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.086286602,2,8,nid001120;nid001121
weak_16rank_200000_2000000,directed,weak,16,3,200000,2000000,200000,2000000,125000.00,0.044061000,0.646921000,0.025878000,0.006002000,0.003873000,0.020460000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.085740224,2,8,nid001120;nid001121
weak_16rank_200000_2000000,directed,weak,16,4,200000,2000000,200000,2000000,125000.00,0.043965000,0.644843000,0.026385000,0.005430000,0.004058000,0.019835000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.085927442,2,8,nid001120;nid001121
weak_16rank_200000_2000000,directed,weak,16,5,200000,2000000,200000,2000000,125000.00,0.044096000,0.632243000,0.025880000,0.005929000,0.003314000,0.021390000,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051,0.085672170,2,8,nid001120;nid001121
