dataset,threads,runs,pr_min_s,pr_avg_s,pr_median_s,speedup_vs_T1,efficiency,iterations
polblogs,1,5,0.002199,0.002246,0.002262,1.0000,1.0000,108
polblogs,2,5,0.001623,0.001649,0.001656,1.3617,0.6809,108
polblogs,4,5,0.001684,0.001697,0.001689,1.3238,0.3310,108
polblogs,8,5,0.002333,0.002510,0.002478,0.8947,0.1118,108
polblogs,16,5,0.003165,0.003331,0.003262,0.6742,0.0421,108
polblogs,32,5,0.004599,0.004682,0.004667,0.4797,0.0150,108
polblogs,64,5,0.007924,0.007997,0.008010,0.2809,0.0044,108
synthetic_100k_1m,1,5,0.033696,0.033882,0.033893,1.0000,1.0000,19
synthetic_100k_1m,2,5,0.018870,0.018967,0.018999,1.7863,0.8932,19
synthetic_100k_1m,4,5,0.011583,0.011699,0.011721,2.8960,0.7240,19
synthetic_100k_1m,8,5,0.008946,0.009030,0.009002,3.7522,0.4690,19
synthetic_100k_1m,16,5,0.007701,0.007848,0.007744,4.3170,0.2698,19
synthetic_100k_1m,32,5,0.008794,0.008923,0.008973,3.7970,0.1187,19
synthetic_100k_1m,64,5,0.012837,0.013099,0.013094,2.5866,0.0404,19
