dataset,threads,runs,pr_min_s,pr_avg_s,pr_median_s,speedup_vs_T1,efficiency,iterations
polblogs,1,5,0.001704,0.001719,0.001719,1.0000,1.0000,108
polblogs,2,5,0.001615,0.002092,0.001822,0.8219,0.4109,108
polblogs,4,5,0.001704,0.001865,0.001897,0.9217,0.2304,108
polblogs,8,5,0.002031,0.002724,0.002120,0.6311,0.0789,108
polblogs,16,5,0.002753,0.004325,0.002989,0.3975,0.0248,108
polblogs,32,5,0.004190,0.007671,0.006301,0.2241,0.0070,108
polblogs,64,5,0.008587,0.020535,0.009180,0.0837,0.0013,108
synthetic_100k_1m,1,5,0.032899,0.034672,0.034212,1.0000,1.0000,19
synthetic_100k_1m,2,5,0.020256,0.023408,0.021563,1.4812,0.7406,19
synthetic_100k_1m,4,5,0.013272,0.014078,0.013713,2.4628,0.6157,19
synthetic_100k_1m,8,5,0.009264,0.009724,0.009431,3.5658,0.4457,19
synthetic_100k_1m,16,5,0.009106,0.012408,0.011472,2.7943,0.1746,19
synthetic_100k_1m,32,5,0.006838,0.007747,0.006998,4.4757,0.1399,19
synthetic_100k_1m,64,5,0.008435,0.018960,0.015371,1.8287,0.0286,19
