dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,update_time_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,thread_inedges_min,thread_inedges_avg,thread_inedges_max,thread_imbalance,thread_workers
skewed_100k_1m,directed,no_inv_static,1,1,1,1,0.040854000,0.204315000,0.000460000,0.011259607,0.000003000,0.000005000,0.000452000,0.037652000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,1,1,2,0.040172000,0.196919000,0.000426000,0.010604401,0.000003000,0.000007000,0.000417000,0.036967000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,1,1,3,0.036034000,0.200760000,0.000378000,0.010490093,0.000003000,0.000004000,0.000371000,0.033033000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,1,1,4,0.037271000,0.186166000,0.000382000,0.010249255,0.000003000,0.000004000,0.000375000,0.034061000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,1,1,5,0.034885000,0.194568000,0.000375000,0.010749606,0.000004000,0.000004000,0.000367000,0.031720000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,1,1,6,0.034523000,0.188872000,0.000386000,0.011180952,0.000003000,0.000004000,0.000378000,0.031543000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,1,1,7,0.034701000,0.195296000,0.000403000,0.011613498,0.000003000,0.000005000,0.000395000,0.031660000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,1,1,8,0.035179000,0.195177000,0.000418000,0.011882089,0.000002000,0.000005000,0.000411000,0.032220000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,1,1,9,0.035564000,0.193871000,0.000384000,0.010797436,0.000003000,0.000006000,0.000375000,0.032661000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,1,1,10,0.034802000,0.191283000,0.000399000,0.011464858,0.000003000,0.000004000,0.000392000,0.031837000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,no_inv_static,1,2,2,1,0.034960000,0.191322000,0.001215000,0.034754005,0.000003000,0.000005000,0.001207000,0.031992000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
skewed_100k_1m,directed,no_inv_static,1,2,2,2,0.050388000,0.248717000,0.001371000,0.027208859,0.000005000,0.000011000,0.001355000,0.046875000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
skewed_100k_1m,directed,no_inv_static,1,2,2,3,0.044145000,0.248218000,0.001289000,0.029199230,0.000005000,0.000006000,0.001278000,0.037980000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
skewed_100k_1m,directed,no_inv_static,1,2,2,4,0.037146000,0.247868000,0.001219000,0.032816454,0.000004000,0.000006000,0.001209000,0.034246000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
skewed_100k_1m,directed,no_inv_static,1,2,2,5,0.048507000,0.252847000,0.001332000,0.027459954,0.000007000,0.000009000,0.001316000,0.045371000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
skewed_100k_1m,directed,no_inv_static,1,2,2,6,0.034563000,0.233593000,0.001241000,0.035905448,0.000003000,0.000008000,0.001230000,0.031681000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
skewed_100k_1m,directed,no_inv_static,1,2,2,7,0.032264000,0.189887000,0.001228000,0.038060997,0.000003000,0.000004000,0.001221000,0.029508000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
skewed_100k_1m,directed,no_inv_static,1,2,2,8,0.036083000,0.240585000,0.001227000,0.034004933,0.000005000,0.000007000,0.001215000,0.033127000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
