dataset,mode,variant,ranks,threads,total_workers,runs,pr_time_min_s,pr_time_avg_s,pr_time_median_s,total_time_avg_s,comm_time_avg_s,comm_fraction_avg,dangling_reduce_avg_s,diff_reduce_avg_s,allgatherv_avg_s,update_time_avg_s,iterations,max_error_max,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,thread_inedges_min,thread_inedges_avg,thread_inedges_max,thread_imbalance,thread_workers,speedup_vs_no_inv_static,update_speedup_vs_no_inv_static,speedup_vs_variant_1x1,parallel_efficiency_vs_variant_1x1,efficiency_delta_vs_no_inv_static
synthetic_100k_1m,directed,no_inv_static,1,1,1,10,0.031482000,0.035841600,0.034063000,0.237915500,0.000414600,0.011583912,0.000003300,0.000005500,0.000405700,0.033077900,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,1000000.00,1000000.00,1000000.00,1.000000,1,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
synthetic_100k_1m,directed,inv_static,1,1,1,10,0.029380000,0.033773400,0.031969500,0.246077500,0.000430000,0.012765437,0.000003400,0.000005700,0.000420900,0.030755900,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,1000000.00,1000000.00,1000000.00,1.000000,1,1.061237542,1.075497709,1.000000000,1.000000000,0.000000000
synthetic_100k_1m,directed,no_inv_dynamic,1,1,1,10,0.031163000,0.034758700,0.033531500,0.224038800,0.000402800,0.011605515,0.000003100,0.000005300,0.000394400,0.031925600,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,1000000.00,1000000.00,1000000.00,1.000000,1,1.031154790,1.036093292,1.000000000,1.000000000,0.000000000
synthetic_100k_1m,directed,inv_dynamic,1,1,1,10,0.029857000,0.032455200,0.032267000,0.229116700,0.000399000,0.012311655,0.000003500,0.000004900,0.000390800,0.029547800,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,1000000.00,1000000.00,1000000.00,1.000000,1,1.104340753,1.119470824,1.000000000,1.000000000,0.000000000
synthetic_100k_1m,directed,no_inv_static,1,2,2,10,0.018741000,0.022900200,0.019931000,0.223328800,0.001111800,0.051831153,0.000003100,0.000004500,0.001104600,0.019986900,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,482497.00,500000.00,517503.00,1.035006,2,1.000000000,1.000000000,1.565121702,0.782560851,0.000000000
synthetic_100k_1m,directed,inv_static,1,2,2,10,0.017199000,0.021689600,0.020448500,0.223901700,0.001105800,0.052186962,0.000003200,0.000005000,0.001097500,0.019180300,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,482497.00,500000.00,517503.00,1.035006,2,1.055814768,1.042053565,1.557124152,0.778562076,-0.003998775
synthetic_100k_1m,directed,no_inv_dynamic,1,2,2,10,0.018820000,0.022631500,0.022227500,0.221207500,0.001109700,0.049805594,0.000003200,0.000005400,0.001101000,0.020030500,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,458953.80,500000.00,541046.20,1.082092,2,1.011872832,0.997823319,1.535854893,0.767927446,-0.014633405
synthetic_100k_1m,directed,inv_dynamic,1,2,2,10,0.017487000,0.020764200,0.020205000,0.213284400,0.001093100,0.053424755,0.000003200,0.000004800,0.001084900,0.018200500,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,436592.60,500000.00,563407.40,1.126815,2,1.102869362,1.098151150,1.563036380,0.781518190,-0.001042661
synthetic_100k_1m,directed,no_inv_static,1,4,4,10,0.010693000,0.012825900,0.011673000,0.215240900,0.001377600,0.109861798,0.000003000,0.000003500,0.001371100,0.010691000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,232755.00,250000.00,261014.00,1.044056,4,1.000000000,1.000000000,2.794470563,0.698617641,0.000000000
synthetic_100k_1m,directed,inv_static,1,4,4,10,0.009884000,0.012578500,0.012710000,0.226154300,0.001377300,0.113327967,0.000003200,0.000004100,0.001370200,0.010413000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,232755.00,250000.00,261014.00,1.044056,4,1.019668482,1.026697397,2.685010136,0.671252534,-0.027365107
synthetic_100k_1m,directed,no_inv_dynamic,1,4,4,10,0.010507000,0.011367700,0.011033500,0.213470200,0.001288800,0.113703468,0.000003300,0.000004400,0.001281100,0.009260900,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,221999.70,250000.00,268812.70,1.075251,4,1.128275729,1.154423436,3.057672176,0.764418044,0.065800403
synthetic_100k_1m,directed,inv_dynamic,1,4,4,10,0.009857000,0.010960500,0.010667000,0.197732300,0.001280600,0.117142402,0.000002900,0.000004600,0.001273100,0.008779300,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,220789.50,250000.00,286929.00,1.147716,4,1.170192966,1.217750846,2.961105789,0.740276447,0.041658806
synthetic_100k_1m,directed,no_inv_static,1,8,8,10,0.006012000,0.006530700,0.006278500,0.196224200,0.001331600,0.205652245,0.000002400,0.000002300,0.001326800,0.004767700,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,111956.00,125000.00,130855.00,1.046840,8,1.000000000,1.000000000,5.488171253,0.686021407,0.000000000
synthetic_100k_1m,directed,inv_static,1,8,8,10,0.006003000,0.007028900,0.006856500,0.206101400,0.001446400,0.207192693,0.000003200,0.000003200,0.001439900,0.005131500,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,111956.00,125000.00,130855.00,1.046840,8,0.929121200,0.929104550,4.804933916,0.600616739,-0.085404667
synthetic_100k_1m,directed,no_inv_dynamic,1,8,8,10,0.006261000,0.007383200,0.006671000,0.205063600,0.001454600,0.203560131,0.000003300,0.000003400,0.001448000,0.005412300,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,107539.10,125000.00,146951.20,1.175610,8,0.884535161,0.880900911,4.707809622,0.588476203,-0.097545204
synthetic_100k_1m,directed,inv_dynamic,1,8,8,10,0.006232000,0.006945100,0.006768500,0.243815900,0.001539100,0.221819363,0.000003700,0.000004700,0.001531100,0.004851700,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,102785.10,125000.00,145578.30,1.164626,8,0.940332033,0.982686481,4.673107659,0.584138457,-0.101882949
synthetic_100k_1m,directed,no_inv_static,1,16,16,10,0.004166000,0.005576100,0.005035500,0.200813800,0.001557300,0.294967147,0.000002700,0.000001800,0.001552900,0.003683000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,54185.00,62500.00,65696.00,1.051136,16,1.000000000,1.000000000,6.427718298,0.401732394,0.000000000
synthetic_100k_1m,directed,inv_static,1,16,16,10,0.004096000,0.004760000,0.004280000,0.197789100,0.001518700,0.324148866,0.000002600,0.000002600,0.001513500,0.002729500,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,54185.00,62500.00,65696.00,1.051136,16,1.171449580,1.349331379,7.095252101,0.443453256,0.041720863
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,10,0.004333000,0.006570000,0.004622500,0.212297000,0.001457400,0.269965386,0.000003000,0.000002800,0.001451500,0.003924500,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,49920.90,62500.00,77939.30,1.247029,16,0.848721461,0.938463499,5.290517504,0.330657344,-0.071075050
synthetic_100k_1m,directed,inv_dynamic,1,16,16,10,0.004193000,0.005765200,0.004413000,0.204116300,0.001426400,0.292771162,0.000002900,0.000002800,0.001420600,0.002765300,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000000,53669.90,62500.00,79219.30,1.267509,16,0.967199750,1.331862727,5.629501145,0.351843822,-0.049888572
synthetic_100k_1m,directed,no_inv_static,2,8,16,10,0.004842000,0.006186900,0.005825500,0.205522200,0.002954700,0.471016569,0.000209700,0.000837200,0.002063900,0.003619200,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035000,54185.00,62500.00,65696.00,1.051136,16,1.000000000,1.000000000,5.793143578,0.362071474,0.000000000
synthetic_100k_1m,directed,inv_static,2,8,16,10,0.005154000,0.006227800,0.005844500,0.196704800,0.003058300,0.483098181,0.000189300,0.000867100,0.002105200,0.003532000,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035000,54185.00,62500.00,65696.00,1.051136,16,0.993432673,1.024688562,5.423006519,0.338937907,-0.023133566
synthetic_100k_1m,directed,no_inv_dynamic,2,8,16,10,0.004871000,0.006738500,0.005647500,0.205572700,0.002867800,0.414368770,0.000670800,0.000749300,0.002014300,0.003651000,19,1.016440e-20,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035000,46582.40,62500.00,88582.30,1.417317,16,0.918142020,0.991290058,5.158225124,0.322389070,-0.039682403
synthetic_100k_1m,directed,inv_dynamic,2,8,16,10,0.004764000,0.005273500,0.005179000,0.209943900,0.002221800,0.420527146,0.000141800,0.000271000,0.001875100,0.002911700,19,0.000000e+00,PASS,50000,50000.00,50000,482497,500000.00,517503,1.035000,51217.70,62500.00,87448.20,1.399171,16,1.173205651,1.242985198,6.154394615,0.384649663,0.022578190
synthetic_100k_1m,directed,no_inv_static,4,4,16,10,0.006067000,0.007609000,0.007383000,0.248935400,0.004802400,0.624042196,0.000482800,0.001500000,0.003211100,0.003937600,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044000,54185.00,62500.00,65696.00,1.051136,16,1.000000000,1.000000000,4.710421869,0.294401367,0.000000000
synthetic_100k_1m,directed,inv_static,4,4,16,10,0.006005000,0.007061600,0.006868500,0.212933000,0.004318400,0.605408658,0.000431100,0.000359400,0.003798100,0.002771100,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044000,54185.00,62500.00,65696.00,1.051136,16,1.077517843,1.420951969,4.782683811,0.298917738,0.004516371
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,10,0.006063000,0.007141200,0.007096500,0.219859300,0.004157200,0.578736909,0.000420500,0.000340100,0.003689000,0.002934900,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044000,46673.20,62500.00,88821.20,1.421139,16,1.065507198,1.341647075,4.867347225,0.304209202,0.009807835
synthetic_100k_1m,directed,inv_dynamic,4,4,16,10,0.006037000,0.007524100,0.006967000,0.220945400,0.004446100,0.579281651,0.000926100,0.000349900,0.003526700,0.003026400,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044000,46596.90,62500.00,88436.10,1.414978,16,1.011283742,1.301083796,4.313499289,0.269593706,-0.024807661
