dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,update_time_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,thread_inedges_min,thread_inedges_avg,thread_inedges_max,thread_imbalance,thread_workers
synthetic_100k_1m,directed,no_inv_static,1,1,1,1,0.033904000,0.224269000,0.000373000,0.011001652,0.000003000,0.000005000,0.000364000,0.031373000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,1,1,2,0.051961000,0.311772000,0.000574000,0.011046747,0.000008000,0.000010000,0.000556000,0.048596000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,1,1,3,0.034959000,0.242721000,0.000431000,0.012328728,0.000003000,0.000005000,0.000423000,0.032134000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,1,1,4,0.032848000,0.229052000,0.000351000,0.010685582,0.000002000,0.000005000,0.000345000,0.030409000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,1,1,5,0.032566000,0.224891000,0.000385000,0.011822146,0.000003000,0.000005000,0.000376000,0.029933000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,1,1,6,0.037811000,0.235426000,0.000463000,0.012245114,0.000003000,0.000005000,0.000456000,0.034944000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,1,1,7,0.033971000,0.222458000,0.000405000,0.011921933,0.000003000,0.000005000,0.000396000,0.031066000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,1,1,8,0.031482000,0.226569000,0.000367000,0.011657455,0.000003000,0.000004000,0.000360000,0.028894000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,1,1,9,0.034155000,0.232640000,0.000394000,0.011535646,0.000002000,0.000006000,0.000386000,0.031390000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,1,1,10,0.034759000,0.229357000,0.000403000,0.011594120,0.000003000,0.000005000,0.000395000,0.032040000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
synthetic_100k_1m,directed,no_inv_static,1,2,2,1,0.018741000,0.238754000,0.001083000,0.057787738,0.000003000,0.000005000,0.001076000,0.016317000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,2,2,2,0.047469000,0.257111000,0.001195000,0.025174324,0.000004000,0.000006000,0.001186000,0.039585000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,2,2,3,0.019354000,0.211147000,0.001088000,0.056215769,0.000003000,0.000005000,0.001081000,0.017019000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,2,2,4,0.020091000,0.215835000,0.001100000,0.054750883,0.000003000,0.000004000,0.001093000,0.017860000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,2,2,5,0.019771000,0.212633000,0.001133000,0.057306155,0.000003000,0.000004000,0.001126000,0.017504000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,2,2,6,0.020682000,0.218178000,0.001094000,0.052896238,0.000003000,0.000004000,0.001087000,0.018277000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,2,2,7,0.019565000,0.223928000,0.001092000,0.055813953,0.000003000,0.000004000,0.001085000,0.017304000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,2,2,8,0.022415000,0.213443000,0.001127000,0.050278831,0.000003000,0.000004000,0.001120000,0.019952000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,2,2,9,0.019373000,0.221569000,0.001093000,0.056418727,0.000003000,0.000004000,0.001087000,0.016980000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,2,2,10,0.021541000,0.220690000,0.001113000,0.051668910,0.000003000,0.000005000,0.001105000,0.019071000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,482497,500000.00,517503,1.035006,2
synthetic_100k_1m,directed,no_inv_static,1,4,4,1,0.016634000,0.216116000,0.001366000,0.082120957,0.000003000,0.000004000,0.001359000,0.014443000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,232755,250000.00,261014,1.044056,4
synthetic_100k_1m,directed,no_inv_static,1,4,4,2,0.011128000,0.208250000,0.001389000,0.124820273,0.000003000,0.000004000,0.001383000,0.009081000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,232755,250000.00,261014,1.044056,4
synthetic_100k_1m,directed,no_inv_static,1,4,4,3,0.014009000,0.198169000,0.001404000,0.100221286,0.000004000,0.000004000,0.001395000,0.011785000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,232755,250000.00,261014,1.044056,4
synthetic_100k_1m,directed,no_inv_static,1,4,4,4,0.014937000,0.215381000,0.001351000,0.090446542,0.000003000,0.000003000,0.001345000,0.012836000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,232755,250000.00,261014,1.044056,4
synthetic_100k_1m,directed,no_inv_static,1,4,4,5,0.010998000,0.224466000,0.001288000,0.117112202,0.000002000,0.000003000,0.001283000,0.008987000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,232755,250000.00,261014,1.044056,4
synthetic_100k_1m,directed,no_inv_static,1,4,4,6,0.012013000,0.213378000,0.001568000,0.130525264,0.000004000,0.000004000,0.001561000,0.009725000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,232755,250000.00,261014,1.044056,4
synthetic_100k_1m,directed,no_inv_static,1,4,4,7,0.010693000,0.202790000,0.001292000,0.120826709,0.000003000,0.000003000,0.001286000,0.008699000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,232755,250000.00,261014,1.044056,4
