dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance
polblogs,directed,no_inv_static,1,16,16,1,0.038824000,0.040511000,0.000045000,0.001159077,0.000008000,0.000010000,0.000027000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,2,0.027969000,0.029871000,0.000041000,0.001465909,0.000009000,0.000008000,0.000025000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,3,0.026885000,0.028589000,0.000038000,0.001413428,0.000008000,0.000007000,0.000023000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,4,0.059573000,0.061997000,0.000055000,0.000923237,0.000010000,0.000009000,0.000036000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,5,0.043642000,0.045950000,0.000045000,0.001031117,0.000009000,0.000008000,0.000028000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,6,0.023639000,0.025248000,0.000039000,0.001649816,0.000009000,0.000008000,0.000023000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,7,0.021593000,0.023198000,0.000047000,0.002176631,0.000010000,0.000012000,0.000026000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,8,0.021604000,0.023264000,0.000041000,0.001897797,0.000009000,0.000009000,0.000022000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,9,0.022247000,0.023855000,0.000048000,0.002157594,0.000014000,0.000010000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,10,0.038863000,0.040611000,0.000044000,0.001132182,0.000008000,0.000009000,0.000027000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,11,0.026787000,0.028448000,0.000039000,0.001455930,0.000009000,0.000007000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,12,0.025114000,0.026798000,0.000045000,0.001791829,0.000012000,0.000010000,0.000023000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,13,0.024078000,0.025868000,0.000041000,0.001702799,0.000008000,0.000009000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,14,0.026954000,0.029266000,0.000043000,0.001595311,0.000008000,0.000010000,0.000025000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,15,0.022965000,0.024578000,0.000035000,0.001524058,0.000007000,0.000006000,0.000022000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,16,0.021830000,0.023470000,0.000051000,0.002336235,0.000016000,0.000011000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,17,0.026766000,0.029058000,0.000044000,0.001643877,0.000010000,0.000008000,0.000026000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,18,0.021749000,0.023392000,0.000038000,0.001747207,0.000009000,0.000006000,0.000023000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,19,0.028659000,0.030445000,0.000043000,0.001500401,0.000009000,0.000009000,0.000026000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,20,0.024317000,0.026278000,0.000042000,0.001727187,0.000008000,0.000009000,0.000025000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,21,0.022040000,0.023750000,0.000038000,0.001724138,0.000008000,0.000007000,0.000023000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
