dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance
synthetic_100k_1m,directed,no_inv_static,1,16,16,1,0.032337000,0.219330000,0.000424000,0.013111915,0.000005000,0.000007000,0.000412000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,2,0.037245000,0.227042000,0.000491000,0.013182978,0.000005000,0.000009000,0.000478000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,3,0.036473000,0.224197000,0.000459000,0.012584652,0.000005000,0.000013000,0.000440000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,4,0.032646000,0.216331000,0.000406000,0.012436439,0.000005000,0.000008000,0.000393000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,5,0.034073000,0.227951000,0.000427000,0.012531917,0.000005000,0.000006000,0.000416000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,6,0.031910000,0.228809000,0.000419000,0.013130680,0.000005000,0.000006000,0.000408000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,7,0.031940000,0.207992000,0.000420000,0.013149656,0.000006000,0.000006000,0.000408000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,8,0.036920000,0.238864000,0.000429000,0.011619718,0.000005000,0.000009000,0.000415000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,9,0.046005000,0.228571000,0.000441000,0.009585915,0.000004000,0.000007000,0.000429000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,10,0.032803000,0.214565000,0.000456000,0.013901168,0.000004000,0.000007000,0.000445000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,4,4,16,1,0.010479000,0.217054000,0.007163000,0.683557591,0.002232000,0.000323000,0.004965000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,2,0.014721000,0.222249000,0.011435000,0.776781469,0.003590000,0.002940000,0.005214000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,3,0.009727000,0.219780000,0.006442000,0.662280251,0.000487000,0.000323000,0.005808000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,4,0.013449000,0.219343000,0.009751000,0.725035319,0.002136000,0.002962000,0.005001000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,5,0.017796000,0.231640000,0.011665000,0.655484379,0.005368000,0.000767000,0.005864000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,6,0.010778000,0.214102000,0.007456000,0.691779551,0.002620000,0.000238000,0.004939000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,7,0.012720000,0.213768000,0.009445000,0.742531447,0.002051000,0.002758000,0.005098000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,8,0.009053000,0.208137000,0.005610000,0.619684083,0.000658000,0.000428000,0.005121000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,9,0.015679000,0.203441000,0.012466000,0.795076217,0.003827000,0.003415000,0.005843000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,10,0.012072000,0.208253000,0.007521000,0.623011928,0.000976000,0.000967000,0.006140000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_static,1,16,16,1,0.034000000,0.222896000,0.000437000,0.012852941,0.000005000,0.000006000,0.000425000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,1,16,16,2,0.031643000,0.217724000,0.000394000,0.012451411,0.000003000,0.000007000,0.000383000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,1,16,16,3,0.029472000,0.217670000,0.000391000,0.013266830,0.000005000,0.000008000,0.000379000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,1,16,16,4,0.030459000,0.218499000,0.000419000,0.013756197,0.000005000,0.000008000,0.000405000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,1,16,16,5,0.031800000,0.224947000,0.000409000,0.012861635,0.000005000,0.000007000,0.000396000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,1,16,16,6,0.035676000,0.220055000,0.000464000,0.013005942,0.000006000,0.000008000,0.000450000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,1,16,16,7,0.030940000,0.210743000,0.000482000,0.015578539,0.000005000,0.000008000,0.000469000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,1,16,16,8,0.051021000,0.251026000,0.000480000,0.009407891,0.000008000,0.000009000,0.000464000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,1,16,16,9,0.031499000,0.223394000,0.000432000,0.013714721,0.000005000,0.000006000,0.000421000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,1,16,16,10,0.030412000,0.225593000,0.000395000,0.012988294,0.000005000,0.000007000,0.000384000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_static,4,4,16,1,0.015275000,0.218197000,0.012054000,0.789132570,0.002741000,0.004655000,0.004685000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_static,4,4,16,2,0.014324000,0.212584000,0.009625000,0.671949176,0.001083000,0.003227000,0.005359000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_static,4,4,16,3,0.009474000,0.225932000,0.006161000,0.650306101,0.000971000,0.000252000,0.005553000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
