dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance
synthetic_100k_1m,directed,no_inv_static,1,16,16,1,0.039944000,0.227394000,0.003147000,0.078785299,0.000035000,0.000017000,0.003095000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,2,0.029904000,0.226884000,0.003076000,0.102862493,0.000033000,0.000019000,0.003023000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,3,0.039196000,0.227081000,0.003174000,0.080977651,0.000029000,0.000017000,0.003127000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,4,0.039917000,0.223425000,0.003135000,0.078537966,0.000034000,0.000019000,0.003082000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,1,16,16,5,0.029227000,0.218911000,0.003177000,0.108700859,0.000041000,0.000020000,0.003117000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_static,4,4,16,1,0.033547000,0.234776000,0.019304000,0.575431484,0.012226000,0.001257000,0.006752000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,2,0.031994000,0.237998000,0.008056000,0.251797212,0.000397000,0.001265000,0.006655000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,3,0.033341000,0.238626000,0.007626000,0.228727393,0.000185000,0.000893000,0.006665000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,4,0.036818000,0.239861000,0.011752000,0.319191700,0.004161000,0.000959000,0.006722000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_static,4,4,16,5,0.037775000,0.251186000,0.011746000,0.310946393,0.004180000,0.000861000,0.006795000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
